z=1	z=5	z=10	z=20	z=30	z=60	
94.85226666666763	331.9829333333355	521.6874666666733	1090.8010666666928	1849.6192000000212	5643.709866666577	
241.12884138447558	452.9613627182285	667.8766632467716	1199.4917624811765	1928.1769733980282	5671.753681556372	
378.94286992163353	572.6288014884118	814.1602999071287	1307.8168380008688	2006.9840109980864	5699.87561243594	
498.73820771930417	692.6253557663131	958.8062948190774	1417.1557637576095	2085.8858758714773	5727.899798700204	
610.6977019500963	813.248184184224	1062.9263280729922	1525.7203485536252	2164.917479181599	5755.995474150971	
713.366696513793	918.15001390548	1162.6083579456251	1634.6185644742616	2243.4598739327585	5783.973461775768	
808.4676403842104	1016.2236680712923	1262.3245172894144	1743.6341868981383	2322.0654978600132	5812.049818586953	
900.2081253373741	1114.3267808173432	1362.3529825846147	1851.757941618417	2400.5273364671225	5840.097823194084	
980.8784673115365	1209.1147230650176	1461.7801321012823	1959.7190073212905	2479.1439451506944	5868.162307383984	
1062.0965382874112	1294.9320427575556	1561.0915256984601	2068.6141269175214	2557.7994136615966	5896.251517646459	
1143.4155931306063	1380.8380797943944	1660.4595431815617	2158.4688239834504	2636.5417685858915	5924.327207355694	
1222.5246647349165	1467.0226695370472	1738.4057282270257	2236.9085855951985	2715.0608477183728	5952.470286200814	
1294.4563090339575	1551.0818685120626	1814.190163907047	2315.4333920842196	2793.904094582884	5980.50036359013	
1366.8374212057497	1624.9125769282416	1890.561923335814	2393.8191948412054	2872.7366312177446	6008.607733802832	
1439.0079415493217	1698.5605242702932	1966.3999466506573	2472.1979927359944	2951.5137823893574	6036.695614989543	
1508.4535019460945	1772.3793046030396	2042.3407429995993	2550.515802219236	3029.971018655265	6064.819037360977	
1574.1899051191804	1846.5308818288818	2118.159410602373	2628.9366574196306	3108.89893313775	6092.905234273699	
1639.9388307323745	1920.2448540275764	2194.3685755515417	2707.432555913407	3187.66871971152	6120.985627806075	
1706.0748891470148	1994.6077798198287	2270.37177763364	2785.888480682738	3266.493155545746	6149.063450525243	
1767.5953756766796	2062.026671290558	2345.304016219854	2864.1960340997093	3345.5328822476736	6177.186724212716	
1825.3332055688938	2123.282881103328	2411.2066423163874	2942.0124848775586	3424.780413311093	6205.297559139205	
1876.0370732716453	2184.4291534631684	2477.201246122519	3020.187705351631	3503.4049584389936	6233.388128627179	
1922.2062325649777	2245.4558979390467	2543.1535673895214	3098.412713008493	3581.977192017069	6261.463734343314	
